match_year,match_id,map_name,map_winner,winning_team_final_map_score,winning_team_win_rate,map_loser,losing_team_final_map_score,losing_team_win_rate
2021,37379,Dorado,Dallas Fuel,2,1.0,Shanghai Dragons,0,0.0
2021,37392,Lijiang Tower,Florida Mayhem,2,0.6666666666666666,Chengdu Hunters,1,0.33333333333333337
2021,37392,Volskaya Industries,Florida Mayhem,2,0.6666666666666666,Chengdu Hunters,1,0.33333333333333337
2021,37392,Blizzard World,Chengdu Hunters,3,0.6,Florida Mayhem,2,0.4
2021,37392,Havana,Florida Mayhem,4,0.5714285714285714,Chengdu Hunters,3,0.4285714285714286
2021,37391,Oasis,Shanghai Dragons,2,1.0,Florida Mayhem,0,0.0
2021,37391,Hanamura,Shanghai Dragons,1,1.0,Florida Mayhem,0,0.0
2021,37391,King's Row,Shanghai Dragons,2,0.6666666666666666,Florida Mayhem,1,0.33333333333333337
2021,37380,Lijiang Tower,Dallas Fuel,2,1.0,Shanghai Dragons,0,0.0
2021,37380,Temple of Anubis,Shanghai Dragons,1,1.0,Dallas Fuel,0,0.0
2021,37380,King's Row,Dallas Fuel,3,0.6,Shanghai Dragons,2,0.4
2021,37380,Watchpoint: Gibraltar,Dallas Fuel,3,0.6,Shanghai Dragons,2,0.4
2021,37380,Ilios,Shanghai Dragons,2,1.0,Dallas Fuel,0,0.0
2021,37380,Blizzard World,Dallas Fuel,2,0.6666666666666666,Shanghai Dragons,1,0.33333333333333337
2021,37280,Busan,Toronto Defiant,2,1.0,Paris Eternal,0,0.0
2021,37280,Eichenwalde,Paris Eternal,3,0.75,Toronto Defiant,1,0.25
2021,37280,Dorado,Toronto Defiant,3,0.6,Paris Eternal,2,0.4
2021,37280,Temple of Anubis,Toronto Defiant,2,0.6666666666666666,Paris Eternal,1,0.33333333333333337
2021,37279,Ilios,Florida Mayhem,2,1.0,London Spitfire,0,0.0
2021,37279,Numbani,London Spitfire,5,0.5555555555555556,Florida Mayhem,4,0.4444444444444444
2021,37279,Rialto,Florida Mayhem,3,0.6,London Spitfire,2,0.4
2021,37279,Volskaya Industries,Florida Mayhem,4,0.5714285714285714,London Spitfire,3,0.4285714285714286
2021,37290,Lijiang Tower,Guangzhou Charge,2,1.0,Hangzhou Spark,0,0.0
2021,37290,Eichenwalde,Hangzhou Spark,3,0.6,Guangzhou Charge,2,0.4
2021,37290,Dorado,Hangzhou Spark,3,0.75,Guangzhou Charge,1,0.25
2021,37290,Temple of Anubis,Hangzhou Spark,4,0.5714285714285714,Guangzhou Charge,3,0.4285714285714286
2021,37289,Oasis,Shanghai Dragons,2,1.0,Chengdu Hunters,0,0.0
2021,37289,Hollywood,Shanghai Dragons,2,0.6666666666666666,Chengdu Hunters,1,0.33333333333333337
2021,37289,Junkertown,Shanghai Dragons,6,0.5454545454545454,Chengdu Hunters,5,0.4545454545454546
2021,37288,Lijiang Tower,New York Excelsior,2,1.0,Philadelphia Fusion,0,0.0
2021,37288,Numbani,New York Excelsior,3,1.0,Philadelphia Fusion,0,0.0
2021,37288,Rialto,Philadelphia Fusion,3,0.6,New York Excelsior,2,0.4
2021,37288,Volskaya Industries,New York Excelsior,2,1.0,Philadelphia Fusion,0,0.0
2021,37278,Ilios,Paris Eternal,2,0.6666666666666666,Washington Justice,1,0.33333333333333337
2021,37278,Numbani,draw,3,0.5,draw,3,0.5
2021,37278,Rialto,Paris Eternal,3,1.0,Washington Justice,0,0.0
2021,37278,Volskaya Industries,draw,2,0.5,draw,2,0.5
2021,37278,Lijiang Tower,Paris Eternal,2,1.0,Washington Justice,0,0.0
2021,37277,Ilios,Houston Outlaws,2,1.0,Atlanta Reign,0,0.0
2021,37277,Hollywood,Atlanta Reign,3,0.75,Houston Outlaws,1,0.25
2021,37277,Junkertown,Atlanta Reign,3,0.6,Houston Outlaws,2,0.4
2021,37277,Hanamura,Atlanta Reign,2,1.0,Houston Outlaws,0,0.0
2021,37276,Ilios,Boston Uprising,2,1.0,Toronto Defiant,0,0.0
2021,37276,Numbani,Boston Uprising,3,0.6,Toronto Defiant,2,0.4
2021,37276,Rialto,Boston Uprising,4,0.5714285714285714,Toronto Defiant,3,0.4285714285714286
2021,37287,Nepal,Hangzhou Spark,2,0.6666666666666666,Shanghai Dragons,1,0.33333333333333337
2021,37287,Numbani,Hangzhou Spark,4,0.5714285714285714,Shanghai Dragons,3,0.4285714285714286
2021,37287,Rialto,Hangzhou Spark,1,1.0,Shanghai Dragons,0,0.0
2021,37286,Nepal,Guangzhou Charge,2,0.6666666666666666,New York Excelsior,1,0.33333333333333337
2021,37286,Hollywood,Guangzhou Charge,3,0.75,New York Excelsior,1,0.25
2021,37286,Junkertown,New York Excelsior,3,0.75,Guangzhou Charge,1,0.25
2021,37286,Hanamura,Guangzhou Charge,1,1.0,New York Excelsior,0,0.0
2021,37285,Busan,Chengdu Hunters,2,1.0,Philadelphia Fusion,0,0.0
2021,37285,Eichenwalde,Chengdu Hunters,2,0.6666666666666666,Philadelphia Fusion,1,0.33333333333333337
2021,37285,Dorado,Philadelphia Fusion,2,0.6666666666666666,Chengdu Hunters,1,0.33333333333333337
2021,37285,Temple of Anubis,draw,1,0.5,draw,1,0.5
2021,37285,Ilios,Chengdu Hunters,2,1.0,Philadelphia Fusion,0,0.0
2021,37275,Lijiang Tower,Atlanta Reign,2,1.0,London Spitfire,0,0.0
2021,37275,Eichenwalde,Atlanta Reign,3,0.6,London Spitfire,2,0.4
2021,37275,Dorado,Atlanta Reign,3,0.75,London Spitfire,1,0.25
2021,37274,Lijiang Tower,Boston Uprising,2,1.0,Washington Justice,0,0.0
2021,37274,Hollywood,Boston Uprising,2,0.6666666666666666,Washington Justice,1,0.33333333333333337
2021,37274,Junkertown,Boston Uprising,1,1.0,Washington Justice,0,0.0
2021,37273,Busan,Florida Mayhem,2,1.0,Houston Outlaws,0,0.0
2021,37273,Eichenwalde,Houston Outlaws,3,1.0,Florida Mayhem,0,0.0
2021,37273,Dorado,Houston Outlaws,4,0.5714285714285714,Florida Mayhem,3,0.4285714285714286
2021,37273,Temple of Anubis,Houston Outlaws,1,1.0,Florida Mayhem,0,0.0
2021,37272,Nepal,Dallas Fuel,2,1.0,London Spitfire,0,0.0
2021,37272,Junkertown,Dallas Fuel,3,0.75,London Spitfire,1,0.25
2021,37272,Hanamura,Dallas Fuel,3,0.6,London Spitfire,2,0.4
2021,37271,Ilios,Los Angeles Gladiators,2,1.0,Vancouver Titans,0,0.0
2021,37271,Junkertown,Los Angeles Gladiators,3,0.6,Vancouver Titans,2,0.4
2021,37271,Hanamura,Los Angeles Gladiators,3,0.6,Vancouver Titans,2,0.4
2021,37284,Busan,Shanghai Dragons,2,1.0,Los Angeles Valiant,0,0.0
2021,37284,Rialto,Shanghai Dragons,3,0.75,Los Angeles Valiant,1,0.25
2021,37284,Volskaya Industries,draw,1,0.5,draw,1,0.5
2021,37284,Numbani,Shanghai Dragons,1,1.0,Los Angeles Valiant,0,0.0
2021,37283,Oasis,Seoul Dynasty,2,0.6666666666666666,New York Excelsior,1,0.33333333333333337
2021,37283,Junkertown,New York Excelsior,3,0.6,Seoul Dynasty,2,0.4
2021,37283,Hanamura,Seoul Dynasty,1,1.0,New York Excelsior,0,0.0
2021,37283,Hollywood,Seoul Dynasty,4,0.5714285714285714,New York Excelsior,3,0.4285714285714286
2021,37270,Oasis,Houston Outlaws,2,1.0,London Spitfire,0,0.0
2021,37270,Dorado,Houston Outlaws,3,0.6,London Spitfire,2,0.4
2021,37270,Temple of Anubis,Houston Outlaws,3,0.6,London Spitfire,2,0.4
2021,37269,Oasis,San Francisco Shock,2,1.0,Toronto Defiant,0,0.0
2021,37269,Junkertown,Toronto Defiant,2,0.6666666666666666,San Francisco Shock,1,0.33333333333333337
2021,37269,Hanamura,San Francisco Shock,2,0.6666666666666666,Toronto Defiant,1,0.33333333333333337
2021,37269,Hollywood,San Francisco Shock,3,0.75,Toronto Defiant,1,0.25
2021,37268,Busan,Los Angeles Gladiators,2,0.6666666666666666,Atlanta Reign,1,0.33333333333333337
2021,37268,Rialto,Los Angeles Gladiators,4,0.5714285714285714,Atlanta Reign,3,0.4285714285714286
2021,37268,Volskaya Industries,Atlanta Reign,1,1.0,Los Angeles Gladiators,0,0.0
2021,37268,Numbani,Los Angeles Gladiators,3,0.6,Atlanta Reign,2,0.4
2021,37282,Ilios,New York Excelsior,2,1.0,Los Angeles Valiant,0,0.0
2021,37282,Dorado,New York Excelsior,1,1.0,Los Angeles Valiant,0,0.0
